id_integracion,visita,pc,a0,rnd_archivos,t,A
2,1,2,2000,0.8384,7.0,24.1704
2,1,2,2000,0.8384,7.1,17.3411
2,1,2,2000,0.8384,7.2,10.5261
2,1,2,2000,0.8384,7.3,3.7206
2,1,2,2000,0.8384,7.4,-3.0801
3,1,3,1000,0.0283,0,1000
3,1,3,1000,0.0283,0.1,893.2
3,1,3,1000,0.0283,0.2,806.6194
3,1,3,1000,0.0283,0.3,734.7559
3,1,3,1000,0.0283,0.4,673.9693
3,1,3,1000,0.0283,0.5,621.7458
3,1,3,1000,0.0283,0.6,576.289
3,1,3,1000,0.0283,0.7,536.2781
3,1,3,1000,0.0283,0.8,500.7187
3,1,3,1000,0.0283,0.9,468.8468
3,1,3,1000,0.0283,1.0,440.065
3,1,3,1000,0.0283,1.1,413.8993
3,1,3,1000,0.0283,1.2,389.9681
3,1,3,1000,0.0283,1.3,367.9606
3,1,3,1000,0.0283,1.4,347.6211
3,1,3,1000,0.0283,1.5,328.737
3,1,3,1000,0.0283,1.6,311.1302
3,1,3,1000,0.0283,1.7,294.65
3,1,3,1000,0.0283,1.8,279.1681
3,1,3,1000,0.0283,1.9,264.5747
3,1,3,1000,0.0283,2.0,250.7747
3,1,3,1000,0.0283,2.1,237.6859
3,1,3,1000,0.0283,2.2,225.2364
3,1,3,1000,0.0283,2.3,213.3633
3,1,3,1000,0.0283,2.4,202.0109
3,1,3,1000,0.0283,2.5,191.1301
3,1,3,1000,0.0283,2.6,180.677
3,1,3,1000,0.0283,2.7,170.6126
3,1,3,1000,0.0283,2.8,160.9017
3,1,3,1000,0.0283,2.9,151.5128
3,1,3,1000,0.0283,3.0,142.4172
3,1,3,1000,0.0283,3.1,133.5889
3,1,3,1000,0.0283,3.2,125.0043
3,1,3,1000,0.0283,3.3,116.6417
3,1,3,1000,0.0283,3.4,108.4812
3,1,3,1000,0.0283,3.5,100.5043
3,1,3,1000,0.0283,3.6,92.6942
3,1,3,1000,0.0283,3.7,85.035
3,1,3,1000,0.0283,3.8,77.5119
3,1,3,1000,0.0283,3.9,70.1111
3,1,3,1000,0.0283,4.0,62.8195
3,1,3,1000,0.0283,4.1,55.6249
3,1,3,1000,0.0283,4.2,48.5155
3,1,3,1000,0.0283,4.3,41.4801
3,1,3,1000,0.0283,4.4,34.5081
3,1,3,1000,0.0283,4.5,27.589
3,1,3,1000,0.0283,4.6,20.7129
3,1,3,1000,0.0283,4.7,13.87
3,1,3,1000,0.0283,4.8,7.0507
3,1,3,1000,0.0283,4.9,0.2458
3,1,3,1000,0.0283,5.0,-6.5542
4,1,4,1000,0.3014,0,1000
4,1,4,1000,0.3014,0.1,893.2
